No,Year,Title,URL
1,2008,Iron Man,https://www.imdb.com/title/tt0371746/?ref_=ttls_li_tt
2,2008,The Incredible Hulk,https://www.imdb.com/title/tt0800080/?ref_=ttls_li_tt
3,2010,Iron Man 2,https://www.imdb.com/title/tt1228705/?ref_=ttls_li_tt
4,2011,Thor,https://www.imdb.com/title/tt0800369/?ref_=ttls_li_tt
5,2011,Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/?ref_=ttls_li_tt
6,2012,The Avengers,https://www.imdb.com/title/tt0848228/?ref_=ttls_li_tt
7,2013,Iron Man 3,https://www.imdb.com/title/tt1300854/?ref_=ttls_li_tt
8,2013,Thor: The Dark World,https://www.imdb.com/title/tt1981115/?ref_=ttls_li_tt
9,2014,Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/?ref_=ttls_li_tt
10,2014,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/?ref_=ttls_li_tt
11,2015,Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/?ref_=ttls_li_tt
12,2015,Ant-Man,https://www.imdb.com/title/tt0478970/?ref_=ttls_li_tt
13,2016,Captain America: Civil War,https://www.imdb.com/title/tt3498820/?ref_=ttls_li_tt
14,2016,Doctor Strange,https://www.imdb.com/title/tt1211837/?ref_=ttls_li_tt
15,2017,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/?ref_=ttls_li_tt
16,2017,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/?ref_=ttls_li_tt
17,2017,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/?ref_=ttls_li_tt
18,2018,Black Panther,https://www.imdb.com/title/tt1825683/?ref_=ttls_li_tt
19,2018,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=ttls_li_tt
20,2018,Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/?ref_=ttls_li_tt
21,2019,Captain Marvel,https://www.imdb.com/title/tt4154664/?ref_=ttls_li_tt
22,2019,Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=ttls_li_tt
23,2019,Spider-Man: Far From Home,https://www.imdb.com/title/tt6320628/?ref_=ttls_li_tt
24,2021,Black Widow,https://www.imdb.com/title/tt3480822/?ref_=ttls_li_tt
25,2021,Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/?ref_=ttls_li_tt
26,2021,Eternals,https://www.imdb.com/title/tt9032400/?ref_=ttls_li_tt
27,2021,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=ttls_li_tt
28,2022,Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/?ref_=ttls_li_tt
29,2022,Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/?ref_=ttls_li_tt
30,2022,Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/?ref_=ttls_li_tt
31,2023,Ant-Man and the Wasp: Quantumania,https://www.imdb.com/title/tt10954600/?ref_=ttls_li_tt
32,2023,Guardians of the Galaxy Vol. 3,https://www.imdb.com/title/tt6791350/?ref_=ttls_li_tt
